"","Rank","Name","Tm","League","Year","Vote.Pts","X1st.Place","Share","WAR","G","AB","R","H","HR","RBI","SB","BB","BA","OBP","SLG","OPS","Winners"
"143",4,"Hal McRae","KCR","AL",1976,99,0,0.29,4.7,149,527,75,175,8,73,22,64,0.332,0.407,0.461,0.868,0
"144",5,"Rod Carew","MIN","AL",1976,71,1,0.21,6.8,156,605,97,200,9,90,49,67,0.331,0.395,0.463,0.858,0
"145",5,"Chris Chambliss","NYY","AL",1976,71,0,0.21,4.1,156,641,79,188,17,96,1,27,0.293,0.323,0.441,0.765,0
"146",7,"Amos Otis","KCR","AL",1976,58,1,0.17,3.2,153,592,93,165,18,86,26,55,0.279,0.341,0.444,0.785,0
"147",9,"Lee May","BAL","AL",1976,51,0,0.15,2.7,148,530,61,137,25,109,4,41,0.258,0.312,0.447,0.759,0
"148",1,"Rod Carew","MIN","AL",1977,273,12,0.7,9.7,155,616,128,239,14,100,23,69,0.388,0.449,0.57,1.019,1
"149",2,"Al Cowens","KCR","AL",1977,217,4,0.55,5.3,162,606,98,189,23,112,16,41,0.312,0.361,0.525,0.885,0
"150",3,"Ken Singleton","BAL","AL",1977,200,3,0.51,5.7,152,536,90,176,24,99,0,107,0.328,0.438,0.507,0.945,0
"151",4,"Jim Rice","BOS","AL",1977,163,1,0.42,5.2,160,644,104,206,39,114,5,53,0.32,0.376,0.593,0.969,0
"152",5,"Graig Nettles","NYY","AL",1977,112,2,0.29,5.5,158,589,99,150,37,107,2,68,0.255,0.333,0.496,0.829,0
"153",7,"Thurman Munson","NYY","AL",1977,70,1,0.18,4.9,149,595,85,183,18,100,5,39,0.308,0.351,0.462,0.813,0
"154",8,"Carlton Fisk","BOS","AL",1977,67,1,0.17,7,152,536,106,169,26,102,7,75,0.315,0.402,0.521,0.922,0
"155",8,"Reggie Jackson","NYY","AL",1977,67,1,0.17,4.5,146,525,93,150,32,110,17,74,0.286,0.375,0.55,0.925,0
"156",1,"Jim Rice","BOS","AL",1978,352,20,0.9,7.6,163,677,121,213,46,139,7,58,0.315,0.37,0.6,0.97,1
"157",3,"Larry Hisle","MIL","AL",1978,201,0,0.51,5.3,142,520,96,151,34,115,10,67,0.29,0.374,0.533,0.906,0
"158",4,"Amos Otis","KCR","AL",1978,90,0,0.23,7.4,141,486,74,145,22,96,32,66,0.298,0.38,0.525,0.905,0
"159",5,"Rusty Staub","DET","AL",1978,88,0,0.22,1.5,162,642,75,175,24,121,3,76,0.273,0.347,0.435,0.782,0
"160",6,"Graig Nettles","NYY","AL",1978,86,0,0.22,5.7,159,587,81,162,27,93,1,59,0.276,0.343,0.46,0.803,0
"161",7,"Don Baylor","CAL","AL",1978,51,0,0.13,1.6,158,591,103,151,34,99,22,56,0.255,0.332,0.472,0.804,0
"162",8,"Eddie Murray","BAL","AL",1978,50,0,0.13,4.3,161,610,85,174,27,95,6,70,0.285,0.356,0.48,0.836,0
"163",9,"Carlton Fisk","BOS","AL",1978,49,0,0.13,5.9,157,571,94,162,20,88,7,71,0.284,0.366,0.475,0.841,0
"164",1,"Don Baylor","CAL","AL",1979,347,20,0.89,3.7,162,628,120,186,36,139,22,71,0.296,0.371,0.53,0.901,1
"165",2,"Ken Singleton","BAL","AL",1979,241,3,0.61,5.3,159,570,93,168,35,111,3,109,0.295,0.405,0.533,0.938,0
"166",3,"George Brett","KCR","AL",1979,226,2,0.58,8.6,154,645,119,212,23,107,17,51,0.329,0.376,0.563,0.939,0
"167",4,"Fred Lynn","BOS","AL",1979,160,0,0.41,8.9,147,531,116,177,39,122,2,82,0.333,0.423,0.637,1.059,0
"168",5,"Jim Rice","BOS","AL",1979,124,0,0.32,6.4,158,619,117,201,39,130,9,57,0.325,0.381,0.596,0.977,0
"169",7,"Gorman Thomas","MIL","AL",1979,87,0,0.22,4.8,156,557,97,136,45,123,1,98,0.244,0.356,0.539,0.895,0
"170",8,"Bobby Grich","CAL","AL",1979,58,0,0.15,6,153,534,78,157,30,101,1,59,0.294,0.365,0.537,0.903,0
"171",9,"Darrell Porter","KCR","AL",1979,52,0,0.13,7.6,157,533,101,155,20,112,3,121,0.291,0.421,0.484,0.905,0
"172",1,"George Brett","KCR","AL",1980,335,17,0.85,9.4,117,449,87,175,24,118,15,58,0.39,0.454,0.664,1.118,1
"173",2,"Reggie Jackson","NYY","AL",1980,234,5,0.6,4.8,143,514,94,154,41,111,1,83,0.3,0.398,0.597,0.995,0
"174",4,"Willie Wilson","KCR","AL",1980,169,1,0.43,8.5,161,705,133,230,3,49,79,28,0.326,0.357,0.421,0.778,0
"175",5,"Cecil Cooper","MIL","AL",1980,160,0,0.41,6.8,153,622,96,219,25,122,17,39,0.352,0.387,0.539,0.926,0
"176",6,"Eddie Murray","BAL","AL",1980,106,0,0.27,4.5,158,621,100,186,32,116,7,54,0.3,0.354,0.519,0.873,0
"177",7,"Rick Cerone","NYY","AL",1980,77,1,0.2,4.2,147,519,70,144,14,85,1,32,0.277,0.321,0.432,0.753,0
"178",2,"Rickey Henderson","OAK","AL",1981,308,12,0.79,6.7,108,423,89,135,6,35,56,64,0.319,0.408,0.437,0.845,0
"179",3,"Dwight Evans","BOS","AL",1981,140,0,0.36,6.7,108,412,84,122,22,71,3,85,0.296,0.415,0.522,0.937,0
"180",4,"Tony Armas","OAK","AL",1981,139,1,0.35,4.2,109,440,51,115,22,76,5,19,0.261,0.294,0.48,0.774,0
"181",5,"Eddie Murray","BAL","AL",1981,137,0,0.35,3.8,99,378,57,111,22,78,2,40,0.294,0.36,0.534,0.895,0
"182",6,"Carney Lansford","BOS","AL",1981,109,0,0.28,3.7,102,399,61,134,4,52,15,34,0.336,0.389,0.439,0.828,0
"183",7,"Dave Winfield","NYY","AL",1981,98,0,0.25,2.5,105,388,52,114,13,68,11,43,0.294,0.36,0.464,0.824,0
"184",8,"Cecil Cooper","MIL","AL",1981,96,0,0.24,4.2,106,416,70,133,12,60,5,28,0.32,0.363,0.495,0.858,0
"185",1,"Robin Yount","MIL","AL",1982,385,27,0.98,10.6,156,635,129,210,29,114,14,54,0.331,0.379,0.578,0.957,1
"186",2,"Eddie Murray","BAL","AL",1982,228,0,0.58,5.2,151,550,87,174,32,110,7,70,0.316,0.391,0.549,0.94,0
"187",3,"Doug DeCinces","CAL","AL",1982,178,0,0.45,7.6,153,575,94,173,30,97,7,66,0.301,0.369,0.548,0.916,0
"188",4,"Hal McRae","KCR","AL",1982,175,0,0.45,4.1,159,613,91,189,27,133,4,55,0.308,0.369,0.542,0.91,0
"189",5,"Cecil Cooper","MIL","AL",1982,152,0,0.39,5.7,155,654,104,205,32,121,2,32,0.313,0.342,0.528,0.87,0
"190",6,"Reggie Jackson","CAL","AL",1982,107,1,0.27,3.1,153,530,92,146,39,101,4,85,0.275,0.375,0.532,0.907,0
"191",7,"Dwight Evans","BOS","AL",1982,57,0,0.15,6.5,162,609,122,178,32,98,3,112,0.292,0.402,0.534,0.936,0
"192",8,"Gorman Thomas","MIL","AL",1982,44,0,0.11,5,158,567,96,139,39,112,3,84,0.245,0.343,0.506,0.85,0
"193",1,"Cal Ripken Jr.","BAL","AL",1983,322,15,0.82,8.2,162,663,121,211,27,102,0,58,0.318,0.371,0.517,0.888,1
"194",2,"Eddie Murray","BAL","AL",1983,290,10,0.74,6.7,156,582,115,178,33,111,5,86,0.306,0.393,0.538,0.93,0
