Rank,Name,Tm,League,Year,Vote.Pts,X1st.Place,Share,WAR,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO
5,Dean Chance,LAA,AL,1964,97,0,35%,8.7,46,89,3,7,0,0,0,3,0.079,0.109,0.079,0.187,20,9,1.65,1.006,46,35,4,278.1,194,7,86,207
6,Pete Ward,CHW,AL,1964,67,0,24%,6.3,144,539,61,152,23,94,1,56,0.282,0.348,0.473,0.821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Bill Freehan,DET,AL,1964,44,0,16%,5.3,144,520,69,156,18,80,5,36,0.3,0.35,0.462,0.812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Gary Peters,CHW,AL,1964,44,0,16%,5,54,120,9,25,4,19,0,2,0.208,0.228,0.367,0.594,20,8,2.5,1.173,37,36,0,273.2,217,20,104,205
9,Dick Radatz,BOS,AL,1964,37,0,13%,6,79,37,2,6,0,4,0,0,0.162,0.184,0.189,0.373,16,9,2.29,1.025,79,0,29,157,103,13,58,181
1,Zoilo Versalles,MIN,AL,1965,275,19,98%,7.2,160,666,126,182,19,77,27,41,0.273,0.319,0.462,0.781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Tony Oliva,MIN,AL,1965,174,1,62%,5.4,149,576,107,185,16,98,19,55,0.321,0.378,0.491,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Brooks Robinson,BAL,AL,1965,150,0,54%,4.5,144,559,81,166,18,80,3,47,0.297,0.351,0.445,0.797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Eddie Fisher,CHW,AL,1965,122,0,44%,2.2,82,29,3,4,0,1,0,1,0.138,0.167,0.172,0.339,15,7,2.4,0.974,82,0,24,165.1,118,13,43,90
5,Rocky Colavito,CLE,AL,1965,89,0,32%,3.3,162,592,92,170,26,108,1,93,0.287,0.383,0.468,0.851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Mudcat Grant,MIN,AL,1965,74,0,26%,2.6,50,97,13,15,0,8,0,7,0.155,0.212,0.227,0.438,21,7,3.3,1.158,41,39,0,270.1,252,34,61,142
7,Stu Miller,BAL,AL,1965,45,0,16%,4.1,67,16,1,1,0,2,0,1,0.063,0.118,0.125,0.243,14,7,1.89,0.997,67,0,24,119.1,87,5,32,104
8,Willie Horton,DET,AL,1965,24,0,9%,3,143,512,69,140,29,104,5,48,0.273,0.34,0.49,0.831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Tom Tresh,NYY,AL,1965,23,0,8%,3.8,156,602,94,168,26,74,5,59,0.279,0.348,0.477,0.825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Frank Robinson,BAL,AL,1966,280,20,100%,7.7,155,576,122,182,49,122,8,87,0.316,0.41,0.637,1.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Brooks Robinson,BAL,AL,1966,153,0,55%,4.6,157,620,91,167,23,100,2,56,0.269,0.333,0.444,0.776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Boog Powell,BAL,AL,1966,122,0,44%,4.1,140,491,78,141,34,109,0,67,0.287,0.372,0.532,0.903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Harmon Killebrew,MIN,AL,1966,96,0,34%,5.9,162,569,89,160,39,110,0,103,0.281,0.391,0.538,0.929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Jim Kaat,MIN,AL,1966,84,0,30%,5,47,118,12,23,2,13,0,5,0.195,0.228,0.28,0.507,25,13,2.75,1.07,41,41,0,304.2,271,29,55,205
6,Tony Oliva,MIN,AL,1966,71,0,25%,6.4,159,622,99,191,25,87,13,42,0.307,0.353,0.502,0.854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Al Kaline,DET,AL,1966,66,0,24%,5.6,142,479,85,138,29,88,5,81,0.288,0.392,0.534,0.927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Tommie Agee,CHW,AL,1966,63,0,23%,6.4,160,629,98,172,22,86,44,41,0.273,0.326,0.447,0.773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Luis Aparicio,BAL,AL,1966,51,0,18%,4.2,151,659,97,182,6,41,25,33,0.276,0.311,0.366,0.676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Carl Yastrzemski,BOS,AL,1967,275,19,98%,12.5,161,579,112,189,44,121,10,91,0.326,0.418,0.622,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Harmon Killebrew,MIN,AL,1967,161,0,58%,6.5,163,547,105,147,44,113,1,131,0.269,0.408,0.558,0.965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Bill Freehan,DET,AL,1967,137,0,49%,6.1,155,517,66,146,20,74,1,73,0.282,0.389,0.447,0.835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Joe Horlen,CHW,AL,1967,91,0,33%,5.6,51,83,8,14,0,5,0,1,0.169,0.186,0.181,0.367,19,7,2.06,0.953,35,35,0,258,188,13,58,103
5,Al Kaline,DET,AL,1967,88,0,31%,7.5,131,458,94,141,25,78,8,83,0.308,0.411,0.541,0.952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Jim Lonborg,BOS,AL,1967,82,0,29%,3.9,39,99,7,14,0,8,1,4,0.141,0.175,0.172,0.346,22,9,3.16,1.138,39,39,0,273.1,228,23,83,246
7,Jim Fregosi,CAL,AL,1967,70,0,25%,5.4,151,590,75,171,9,56,9,49,0.29,0.349,0.395,0.744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,César Tovar,MIN,AL,1967,70,1,25%,2.4,164,649,98,173,6,47,19,46,0.267,0.325,0.365,0.691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Gary Peters,CHW,AL,1967,37,0,13%,4.5,48,99,10,21,2,13,0,2,0.212,0.243,0.313,0.556,16,11,2.28,1.069,38,36,0,260,187,15,91,215
1,Denny McLain,DET,AL,1968,280,20,100%,7.4,44,111,7,18,0,4,0,1,0.162,0.17,0.189,0.359,31,6,1.96,0.905,41,41,0,336,241,31,63,280
2,Bill Freehan,DET,AL,1968,161,0,58%,6.9,155,540,73,142,25,84,0,65,0.263,0.366,0.454,0.819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Ken Harrelson,BOS,AL,1968,103,0,37%,5.1,150,535,79,147,35,109,2,69,0.275,0.356,0.518,0.874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Willie Horton,DET,AL,1968,102,0,36%,5.4,143,512,68,146,36,85,0,49,0.285,0.352,0.543,0.895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Dave McNally,BAL,AL,1968,78,0,28%,6.6,35,86,10,11,3,10,0,9,0.128,0.208,0.244,0.453,22,10,1.95,0.842,35,35,0,273,175,24,55,202
5,Luis Tiant,CLE,AL,1968,78,0,28%,7.9,34,87,4,7,0,3,0,0,0.08,0.08,0.092,0.172,21,9,1.6,0.871,34,32,0,258.1,152,16,73,264
7,Dick McAuliffe,DET,AL,1968,71,0,25%,5.6,151,570,95,142,16,56,8,82,0.249,0.344,0.411,0.755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Frank Howard,WSA,AL,1968,63,0,23%,4.6,158,598,79,164,44,106,0,54,0.274,0.338,0.552,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Carl Yastrzemski,BOS,AL,1968,50,0,18%,10.5,157,539,90,162,23,74,13,119,0.301,0.426,0.495,0.922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Harmon Killebrew,MIN,AL,1969,294,16,88%,6.1,162,555,106,153,49,140,8,145,0.276,0.427,0.584,1.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Boog Powell,BAL,AL,1969,227,6,68%,5.8,152,533,83,162,37,121,1,72,0.304,0.383,0.559,0.942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
